Blog	four	second	here	reported	k	music	until	example	want	travel	feature	how	wrong	series	re	wasn	service	needed	listen	project	person	saying	release	result	best	asked	much	life	worked	things	had	easy	has	possible	right	old	people	support	happy	inside	ddos	time	team	sign	current	understanding	along	love	working	following	so	course	didn	internet	million	quite	massive	one	vote	open	city	future	turned	say	note	take	knew	ways	going	where	many	photos	former	technology	being	around	traffic	world	power	side	image	her	october	am	an	original	tv	th	case	large	small	past	hours	social	via	single	company	learn	sense	its	always	found	really	major	obama	self	also	play	sometimes	set	see	movie	available	last	whole	community	recent	amp	readers	couple	d	continue	be	anything	clinton	into	link	line	posted	up	us	ago	came	having	try	video	let	great	makes	tools	next	process	high	move	presidential	doing	could	put	start	system	haven	face	fact	bring	should	hope	means	stuff	email	co	ve	off	less	web	five	become	does	problem	chance	worth	told	total	work	after	order	then	them	they	network	created	another	do	away	com	information	voice	hand	photo	thanks	board	night	security	comments	post	months	way	true	update	together	change	live	car	write	product	remember	still	non	half	now	domain	year	space	looking	shows	care	directly	friend	than	online	america	only	between	article	comes	learning	these	media	real	read	early	using	business	your	aren	lot	building	since	month	very	learned	family	ask	takes	site	history	tried	help	soon	actually	event	reason	american	clear	pretty	during	x	close	won	probably	both	else	lives	look	while	used	friends	user	game	some	run	step	seeing	within	himself	similar	doesn	e	go	facebook	click	win	started	control	including	him	special	completely	keep	powerful	such	data	attack	final	need	able	anyway	based	years	she	computer	state	key	group	well	lost	page	twitter	home	he	stories	piece	skills	companies	across	likely	even	tips	ever	never	campaign	tell	room	give	amazing	answer	president	before	personal	better	weeks	went	mean	content	reader	isn	features	matter	seen	don	m	stop	bad	decided	said	against	appeared	three	website	if	make	left	just	human	yes	yet	save	deal	popular	down	drive	finally	me	did	useful	visit	making	may	man	maybe	talk	nbsp	interesting	policy	morning	earlier	thing	think	first	long	little	anyone	hillary	were	especially	show	sites	enough	black	get	behind	reading	according	mark	those	different	pay	same	running	money	either	trying	images	videos	youtube	again	important	u	starting	issues	public	search	published	two	particular	share	needs	coming	through	good	everyone	house	hard	idea	done	least	believe	build	most	services	find	common	simple	simply	create	understand	itself	spent	source	big	bit	google	often	back	giving	access	others	private	links	account	bunch	ll	instead	day	announced	text	taking	value	almost	thought	add	works	actual	buy	minutes	under	every	enjoy	changes	york	would	phone	my	times	end	over	writing	each	driving	got	free	wanted	days	already	top	too	took	talking	though	watch	report	full	news	conference	been	quickly	experience	several	gave	which	donald	election	everything	hear	no	focus	cool	level	posts	says	goes	today	trump	figure	huge	happened	name	turn	place	any	ideas	sure	later	written	outside	come	myself	someone	check	week	without	when	seems	blog	or	there	longer	wife	all	program	woman	far	list	design	version	known	short	might	wouldn	number	friday	feel	story	store	kind	nothing	part	his	hit	wrote	art	recently	creating	attention	c	reasons	due	know	questions	customers	question	fast	called	nice	users	problems	once	apple	app	use	few	women	something	looks	related	our	out	latest	conversation	their	who	why	please	debate	thousands	ones	words	view	will	perhaps	gets	difficult	point	other	because	getting	own	apps	made	whether	below	book
Lifehack	2	0	0	0	0	3	0	0	3	1	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	11	0	5	0	3	2	1	0	2	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	2	0	3	0	0	2	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	3	0	2	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	5	1	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	4	0	2	1	1	0	0	18	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	2	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	6	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	20	0	0	4	5	0	4	0	0	0	0	0	0	0	0	0	1	1	0	0	2	2	3	0	0	0	0	0	0	0	0	0	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	2	0	0	0	5	0	0	2	2	0	2	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	7	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	1	0	0	0	0	1	0	4	0	0	0	0	0	0	0	1	0	0	3	0	0
Lifehacker	1	0	2	0	0	0	0	0	3	0	0	5	0	1	6	1	1	0	0	0	0	0	0	0	6	0	0	1	0	2	1	1	3	0	1	3	2	1	0	0	2	3	3	0	0	0	0	1	0	0	0	0	0	2	0	0	0	2	0	2	2	1	0	2	0	1	0	0	0	2	1	0	0	1	0	4	0	2	0	1	0	0	1	0	7	0	0	1	0	2	2	1	0	0	0	1	1	2	0	1	1	0	2	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	6	0	1	3	0	0	0	2	2	0	0	1	2	2	3	2	1	4	0	0	0	0	2	0	0	0	0	1	0	2	0	0	5	0	1	0	0	0	1	2	2	1	0	0	1	1	0	0	0	0	1	2	0	2	1	3	1	0	0	4	1	0	0	0	2	0	0	0	0	0	0	0	0	3	0	1	1	0	0	7	0	0	1	2	1	1	1	0	0	0	0	1	0	0	1	5	0	1	2	0	0	1	0	5	0	1	25	0	0	0	15	0	3	0	0	0	0	1	0	1	0	0	1	0	4	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	1	3	0	0	0	0	0	0	0	0	4	3	0	0	0	1	0	0	1	0	3	0	0	0	3	1	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	1	1	1	0	3	1	0	0	2	0	0	0	0	0	9	7	0	8	1	0	0	0	1	3	2	1	0	2	0	2	0	1	2	0	0	0	5	0	0	0	0	0	1	2	0	1	0	1	0	0	1	0	1	0	5	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	2	1	2	1	2	0	0	0	0	1	2	0	4	1	1	0	0	0	0	0	0	1	0	2	1	3	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	1	2	0	3	0	0	1	0	0	0	6	0	2	0	1	1	0	1	0	3	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	2	2	4	0	1	1	2	0	0	4	0	1	4	3	0	1	0	0	1	0	2	0	2	0	0	0	0	0	0	0	2	3	5	1	0	10	7	0	0	5	0	0	0	0	0	1	0	0	2	0	0	2	0	0	0	0	1	0	3	0	0	0	1	0	0	4	0	0	1	0	0	2	1	0	1	0	0	0	0	0	4	3	0	2	0	0	1	10	0	0	2	2	4	1	1	0	1	0	0	2	1	1	1	0	0	1	0	1	1	0	0	2	0
Google Operating System	0	0	5	1	7	1	1	6	0	2	13	1	0	0	8	0	0	0	0	0	0	0	2	3	7	0	4	0	0	1	2	5	23	1	6	1	9	6	0	3	0	2	0	0	1	1	2	0	2	0	10	0	0	0	0	3	0	13	0	1	0	1	0	0	0	0	0	1	4	1	5	19	2	1	0	0	0	1	0	0	9	0	0	0	14	3	3	1	1	0	2	1	1	0	3	1	0	0	0	8	3	3	1	1	0	0	15	7	3	0	9	0	8	1	0	1	2	2	0	0	1	1	22	0	0	3	5	0	0	4	3	0	1	0	1	0	0	5	1	2	3	0	5	1	0	0	0	1	2	1	1	0	1	2	2	0	1	1	1	0	3	0	4	6	0	1	1	0	1	2	0	0	4	5	3	6	13	5	2	0	5	2	0	3	4	4	0	1	3	1	1	0	0	0	3	3	0	2	2	2	0	0	0	5	1	4	0	1	15	0	3	1	1	16	0	1	1	4	1	0	12	4	1	3	0	3	0	1	1	3	3	0	24	3	10	0	2	1	2	0	0	0	0	3	4	1	2	0	3	1	0	0	0	2	0	3	0	1	1	2	0	0	1	8	1	0	3	5	7	0	0	0	0	0	1	4	0	4	0	7	3	3	0	4	0	2	1	1	5	1	0	0	0	1	2	0	3	1	0	0	2	0	0	4	0	5	1	10	0	1	0	0	0	1	0	2	0	1	1	0	0	1	2	0	4	1	1	1	5	0	0	0	5	0	0	6	0	0	3	1	1	1	1	2	2	0	1	0	15	6	3	6	0	0	0	1	0	5	4	2	1	1	3	2	2	0	2	1	0	0	8	3	0	0	0	1	2	7	2	0	0	0	6	0	3	1	2	0	13	2	0	1	0	1	8	1	5	0	1	0	0	3	3	1	1	2	4	3	1	4	34	1	1	0	3	1	0	0	3	2	2	1	1	1	0	0	1	8	5	6	0	0	0	0	0	0	0	1	1	0	176	1	9	0	3	4	0	9	3	0	9	0	1	2	3	0	3	0	0	8	4	1	6	0	1	2	0	0	0	0	7	2	1	1	0	0	0	1	1	1	2	0	0	2	1	1	0	0	0	0	3	6	0	4	5	0	0	0	17	0	0	0	0	8	1	2	3	1	5	0	5	0	0	2	0	2	2	7	4	0	1	4	0	0	1	0	0	1	0	1	11	0	11	21	13	3	0	13	3	0	1	8	2	3	0	1	0	0	5	0	0	0	7	1	0	0	0	1	0	0	0	0	0	2	0	0	3	2	0	3	1	3	0	2	1	0	3	9	8	4	0	3	2	9	1	6	6	0	3	3	2	0	0	0	0	0	4	18	0	2	1	4	15	2	0	5	0	2	1	1	0
Schneier on Security	0	0	3	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	3	0	0	1	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	1	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	5	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	5	0	2	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	3	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	1	0	3	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	3	0	0	0	0	4	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	2	0	1	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Quick Online Tips	0	0	1	0	0	0	0	0	2	0	0	12	0	0	0	0	1	0	0	0	0	0	0	0	3	0	1	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	7	0	0	0	0	0	0	0	2	0	1	0	4	0	0	0	1	0	0	0	0	0	0	0	0	3	19	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	1	0	13	0	0	0	10	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	4	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	3	0	0	0	0	0	0	17	0	0	0	0	0	3	0	4	0	0	0	1	0	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	5	0	0	0	1	0	0	10	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	10	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	10	1	1	1	0	1	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	5
Mashable	0	1	4	1	0	0	2	0	0	0	2	3	1	4	4	0	5	0	0	0	3	0	0	1	3	1	5	3	0	6	9	0	12	0	1	1	9	1	6	1	8	7	0	0	0	0	1	0	0	2	5	0	2	27	0	0	7	17	0	0	1	6	0	1	0	3	1	0	3	2	3	4	1	2	3	2	2	8	0	0	2	9	2	0	14	2	6	2	0	2	1	0	0	2	2	1	8	0	2	4	4	0	2	3	0	0	22	5	1	2	23	8	0	1	0	0	1	0	0	0	4	1	20	0	4	7	0	0	3	8	6	0	3	0	0	10	2	1	0	0	0	0	1	1	1	1	3	0	0	1	0	0	0	0	0	2	1	1	0	1	4	1	0	1	2	0	2	1	0	0	2	0	5	10	0	5	3	7	0	0	2	3	2	3	0	0	0	1	1	0	1	1	0	1	0	1	2	0	1	1	6	1	2	0	0	4	0	1	3	7	1	0	1	1	0	0	2	6	1	4	5	1	0	0	0	4	3	4	31	2	0	1	7	0	2	0	6	1	7	1	1	1	1	1	1	2	2	0	4	1	0	1	3	2	3	0	1	1	1	0	0	0	4	3	3	0	2	2	7	0	0	0	1	0	0	1	0	2	1	0	2	2	0	3	8	1	2	1	0	1	1	21	1	2	1	1	1	3	4	0	0	1	0	4	1	1	9	2	10	4	0	2	0	6	0	6	0	3	4	1	0	2	1	0	4	1	5	1	1	0	1	2	0	0	3	0	0	0	5	1	3	0	1	7	3	0	0	2	5	2	0	12	3	1	2	1	2	2	6	0	1	5	1	0	0	0	2	4	0	2	0	3	0	3	2	8	0	3	0	2	1	3	11	0	8	4	0	2	1	4	0	2	0	2	2	0	2	2	1	0	0	2	3	2	1	2	4	1	0	1	0	2	4	2	1	0	3	6	0	1	1	2	0	0	0	0	0	13	3	4	1	1	1	0	1	0	0	0	3	1	0	0	10	0	1	0	0	0	0	0	0	1	1	3	0	0	0	0	1	1	0	1	1	1	1	1	0	0	4	5	0	3	0	2	3	0	2	1	1	0	1	2	1	1	1	2	2	1	1	0	1	2	0	11	0	0	1	1	5	12	3	0	1	7	0	1	0	0	1	0	0	9	2	2	1	9	0	0	2	0	1	0	0	0	3	0	0	0	2	3	7	1	0	3	9	0	2	3	0	7	0	2	0	1	2	1	3	1	2	17	4	6	0	2	1	2	12	2	0	2	3	0	0	1	0	2	3	2	0	5	0	1	0	1	2	1	0	2	1	2	0	3	0	0	3	8	0	1	7	7	2	1	3	0	0	1	0	9	2	0	0	2	1	0	3	0	3	4	1	1	2
WIRED	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	1	1	0	0	0	0	0	0	2	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	3	0	0	0	0	0	2	0	1	0	0	0	1	0	1	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10	2	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	10	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1
TechCrunch	1	1	1	0	0	3	1	1	2	0	1	3	1	2	3	0	1	1	0	0	0	0	0	0	0	0	2	1	0	2	1	0	8	1	1	0	0	0	0	0	4	4	2	1	0	0	0	0	0	0	0	1	0	1	0	0	3	1	0	1	3	2	1	0	0	1	0	2	1	0	2	0	0	2	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	4	0	0	11	0	1	0	4	0	2	1	0	0	1	2	0	0	0	0	1	0	0	0	0	3	0	6	0	1	3	0	0	0	3	0	0	0	1	0	1	1	0	0	0	4	0	0	0	3	0	0	0	0	1	0	0	3	0	1	0	1	0	0	0	0	4	2	1	0	0	0	1	2	1	0	0	1	2	1	0	1	3	1	0	2	6	0	0	0	0	0	0	1	1	0	0	1	0	0	2	0	0	0	0	4	0	0	1	0	0	0	0	5	1	1	0	0	0	0	0	0	7	1	0	0	2	0	1	0	4	0	0	20	0	0	0	7	0	1	0	0	1	0	0	0	0	0	0	2	0	0	1	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	4	0	1	1	0	0	0	0	0	0	0	0	0	7	1	0	0	0	2	0	0	1	0	0	0	0	3	0	0	1	0	0	1	0	2	0	1	1	1	0	0	0	0	0	2	0	0	3	0	1	1	0	2	0	2	1	0	0	2	0	1	0	1	2	1	0	0	3	0	2	0	0	0	0	2	0	0	0	1	1	0	0	0	2	3	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	19	1	1	2	2	0	2	5	2	0	0	0	0	0	3	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	0	1	1	0	0	0	0	0	2	0	1	0	1	0	2	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	1	0	2	1	0	0	0	1	0	0	0	0	1	2	0	1	3	1	0	0	0	0	0	0	1	0	1	0	0	0	4	2	0	0	0	0	3	0	0	2	0	0	0	1	2	2	0	1	0	0	1	2	0	1	0	5	0	3	1	0	3	0	1	0	1	1	0	0	0	0	0	0	4	1	0	2	0	0	1	2	1	1	0	0	0	1	0	1	0	2	3	2	2	0	0	5	5	0	0	4	0	0	2	0	2	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	2	0	0	3	2	1	1	0	1	1	0	0	2	0	1	3	4	1	0	1	2	1	0	5	3	0	0	3	2	1	0	0	0	0	0	0	5	0	1	0	0	2	1	0	1	0	4	0	0	2
Gizmodo	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	1	6	0	2	0	0	2	0	0	4	0	0	0	4	0	0	0	5	5	1	1	0	0	0	1	0	0	4	0	0	8	0	0	3	3	0	2	1	3	0	2	0	2	0	0	1	2	1	0	1	0	0	1	0	3	0	0	1	0	1	0	4	1	0	0	0	0	1	0	0	1	0	0	1	0	0	2	0	1	3	2	0	0	1	0	0	0	2	5	2	1	1	0	0	0	0	0	0	0	6	0	0	4	0	0	0	4	7	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	2	0	1	2	0	0	0	0	2	0	0	0	0	0	0	3	2	2	2	2	2	1	0	2	1	2	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	1	1	5	0	0	0	1	0	0	4	0	0	2	1	0	0	2	0	0	0	1	1	0	0	0	0	2	0	0	25	0	0	0	4	0	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	2	1	1	0	2	0	0	0	0	1	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	3	0	0	0	2	1	0	0	0	1	1	0	0	6	0	1	0	0	1	2	0	0	0	0	0	1	2	0	2	0	2	1	3	0	0	2	0	1	2	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	4	1	0	2	0	0	1	0	0	0	2	2	0	3	0	0	0	0	0	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	1	0	0	2	1	1	1	0	0	4	1	0	4	1	2	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	3	1	0	1	3	0	3	2	1	1	0	0	0	0	0	0	0	0	3	1	1	0	3	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	2	1	0	0	1	0	0	2	0	0	0	0	0	4	0	0	0	1	0	0	1	0	0	0	2	0	1	3	3	0	0	0	3	0	0	1	1	1	3	0	0	0	0	0	0	0	1	0	0	5	2	0	1	1	0	0	3	3	0	2	0	0	1	1	0	0	1	0	0	2	1	0	1	1	0	0	7	0	0	0	0	0	0	0	2	0	0	1	2	1	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	2	0	1	1	1	1	1	0	5	6	0	0	1	4	2	0	0	0	1	0	0	5	0	1	0	0	1	1	0	0	0	0	0	1	1
Oilman	0	0	0	0	7	0	0	0	1	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	2	0	2	0	0	1	4	0	0	0	0	1	0	0	0	0	0	2	0	0	4	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	5	1	0	0	1	0	0	1	3	0	0	1	0	0	0	0	1	2	0	0	2	0	0	1	0	0	0	4	0	1	0	0	1	0	1	0	2	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	1	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	4	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	3	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	1	1	1	0	0	5	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	1	0	0	1	0	0	1	0	2	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	6	0	0	1	1	0	0	0	0	1	2	2	0	4	0	0	0	0	1	0	1	0	2	0	0	1	0	0	0	0	1	0	1	0	2	0	1	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	1	0	1	2	2	2	0	0	0	1	0	0	1	0	0	1	0	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0
